method,count,min,q1,median,q3,max,mean
base_a,50,0.0,0.0,0.0,0.0,0.0,0.0
base_b,50,0.0,0.0,0.0,0.0,0.0,0.0
agent,50,3.7e-05,0.00032225,0.0005200000000000001,0.0009195000000000001,0.011241,0.0009542799999999998
multi,50,0.000326,0.0012305,0.001883,0.0034405,0.055756,0.0040136
bypass,50,0.000227,0.00116625,0.001992,0.00380025,0.056703,0.0038748
bypass2,50,0.000214,0.0016385,0.0022364999999999998,0.00397675,0.067244,0.0045789
bypass3,50,0.00022,0.00089275,0.001252,0.00217725,0.022802,0.00217508
bypass4,50,0.00021,0.0009755,0.0017215,0.003286,0.056754,0.0036078600000000005
bypass5,50,0.000219,0.00093375,0.0012295000000000001,0.0021675,0.022908,0.00217688
bypass6,50,0.000223,0.0009895,0.0015674999999999999,0.00315175,0.067269,0.00376024
bypass7,50,0.000181,0.00084,0.0012545,0.0020755,0.022832,0.00212592
bypass8,50,0.000185,0.0010657499999999999,0.0015435,0.003826,0.067201,0.0041601
bypass_only,50,0.000207,0.0008327499999999999,0.00125,0.0020829999999999998,0.022921,0.0021235399999999997
bypass_only2,50,0.000219,0.000845,0.001227,0.002175,0.022882,0.00216248
