method,count,min,q1,median,q3,max,mean,std
agent,1107,0.0,0.8854387656702025,0.969362469024555,0.9958081649656322,1.0,0.9014859298865546,0.1635340149929248
bypass7,1107,0.0,0.7799662687432471,0.9261533355459676,0.9824007154691063,1.0,0.8354258677653225,0.216818679487692
