method,count,min,q1,median,q3,max,mean
base_a,50,0.0,0.0,0.0,0.0,0.0,0.0
base_b,50,0.0,0.0,0.0,0.0,0.0,0.0
agent,50,1.1e-05,0.000623,0.001271,0.0025855,0.006457,0.0020386
multi,50,0.000288,0.0016654999999999999,0.0024775,0.00519225,0.020292,0.004491619999999999
bypass,50,8.8e-05,0.000304,0.001539,0.00390825,0.016538,0.0027112200000000003
bypass2,50,9e-05,0.000312,0.0017855,0.0046110000000000005,0.020504,0.0033602600000000003
bypass3,50,9e-05,0.0002275,0.0003905,0.0005402499999999999,0.002768,0.00051224
bypass4,50,9e-05,0.00030875,0.0009745,0.00310875,0.020616,0.0024234599999999997
bypass5,50,9.2e-05,0.00025425,0.000471,0.0005925,0.003463,0.00055344
bypass6,50,9e-05,0.00020125,0.000359,0.000627,0.015754,0.00123838
bypass7,50,9.3e-05,0.00029375,0.0004745,0.00063875,0.00212,0.0005247
bypass8,50,9.2e-05,0.000308,0.000447,0.000996,0.019226,0.00199832
bypass_only,50,8.8e-05,0.00024575,0.00041200000000000004,0.0005794999999999999,0.001355,0.0004451800000000001
bypass_only2,50,9.1e-05,0.000238,0.0003555,0.0005517499999999999,0.001564,0.0004455200000000001
