method,count,min,q1,median,q3,max,mean,std
base_a,150,0.4932090018857134,0.8968785224260623,0.975769307352691,0.9995827683063876,1.0,0.9220668643228492,0.11102903995356428
base_b,150,0.2705171854066859,0.8571828458075151,0.9348310658045327,0.9909141954956604,1.0,0.8772176346522946,0.17497745438888407
agent,148,0.2652665924790284,0.9462812425675526,0.9932799545527384,0.999837794436435,1.0,0.9340883409216466,0.14749681426750985
bypass7,150,0.2705171854066859,0.8252111614216566,0.9256419434569853,0.990866579379701,1.0,0.8709773299721765,0.17069251997677065
