method,count,min,q1,median,q3,max,mean
base_a,50,0.0,0.0,0.0,0.0,0.0,0.0
base_b,50,0.0,0.0,0.0,0.0,0.0,0.0
agent,50,4.8e-05,0.00097725,0.0017265000000000002,0.00344975,0.017608,0.0029928599999999995
multi,50,0.000614,0.00304525,0.0047715,0.0084435,0.076049,0.00850528
bypass,50,0.00032,0.0016885,0.0039035,0.009024250000000001,0.059384,0.006585959999999999
bypass2,50,0.000332,0.0023615,0.004146,0.007871,0.087748,0.0079392
bypass3,50,0.000324,0.00123875,0.001738,0.00347775,0.023628,0.00268718
bypass4,50,0.000315,0.001382,0.0031695,0.0057135,0.077371,0.006031339999999999
bypass5,50,0.000328,0.00124325,0.0016855,0.00278475,0.024159,0.0027304
bypass6,50,0.000342,0.001372,0.0019465,0.005321,0.083023,0.00499856
bypass7,50,0.000274,0.0012277500000000001,0.0017785,0.002873,0.023898,0.00265056
bypass8,50,0.000277,0.00147375,0.00217,0.00548325,0.070622,0.006158359999999999
bypass_only,50,0.000313,0.00119725,0.0017469999999999999,0.0025327500000000003,0.024277,0.00256868
bypass_only2,50,0.000326,0.00122075,0.0015965,0.002896,0.024031,0.0026080599999999997
