method,sloc_mean,sloc_std,sloc_min,sloc_max,lloc_mean,lloc_std,lloc_min,lloc_max,comments_mean,comments_std,comments_min,comments_max,blank_mean,blank_std,blank_min,blank_max,cc_total_mean,cc_total_std,cc_total_min,cc_total_max,cc_avg_mean,cc_avg_std,cc_avg_min,cc_avg_max,cc_max_mean,cc_max_std,cc_max_min,cc_max_max,cc_count_mean,cc_count_std,cc_count_min,cc_count_max,h_vocabulary_mean,h_vocabulary_std,h_vocabulary_min,h_vocabulary_max,h_length_mean,h_length_std,h_length_min,h_length_max,h_difficulty_mean,h_difficulty_std,h_difficulty_min,h_difficulty_max,h_effort_mean,h_effort_std,h_effort_min,h_effort_max,h_bugs_mean,h_bugs_std,h_bugs_min,h_bugs_max,mi_score_mean,mi_score_std,mi_score_min,mi_score_max,n_samples
a_only,570.9250814332247,775.025766547997,1,8679,390.785016286645,638.0051319560098,1,9055,53.66775244299674,79.71395164847645,0,638,123.12052117263843,202.4145954068392,0,2248,119.93811074918567,225.54821973400107,0.0,3138.0,4.609534790582973,5.054630217854192,0.0,47.333333333333336,18.775244299674267,23.340579537072276,0.0,175.0,30.009771986970684,64.8436271550842,0,1000,126.29967426710098,208.5532049948383,0.0,2584.0,242.73615635179152,450.76857252478,0.0,5569.0,6.792548344225124,4.653607789843328,0.0,20.3943661971831,24731.337378381777,79650.0996833014,0.0,1159430.3344052841,0.6599007070029057,1.569403654668785,0.0,21.04226296176349,42.792143502740146,28.8028505232968,0.0,100.0,307
agent,454.3268608414239,484.8069370293056,0,3424,309.8608414239482,325.55615259751255,0,1539,42.3042071197411,55.996445983313585,0,354,97.80258899676376,124.81402994534474,0,1512,61.737864077669904,80.49045613729155,0.0,364.0,3.567612889907135,5.33525483011328,0.0,47.333333333333336,12.368932038834952,17.63168835492978,0.0,139.0,15.563106796116505,20.284824106158236,0,104,69.09061488673139,94.42690196247611,0.0,483.0,128.042071197411,192.50982816093668,0.0,1042.0,4.795074124627621,4.738547370483501,0.0,17.1697247706422,10677.973947916738,23620.76407078148,0.0,152293.16070591786,0.3143836120552123,0.5364285577290216,0.0,3.0967821042489585,36.51303576699162,31.70909447708004,0.0,100.0,309
b_only,570.3615635179153,796.3215612899886,1,8756,391.3778501628664,652.67114843887,1,9133,54.03257328990228,82.64586380935494,0,609,121.8371335504886,192.7509302189055,0,2248,120.22475570032573,232.83745271144096,0.0,3164.0,4.5229681463275355,5.0447552902646935,0.0,47.333333333333336,18.39739413680782,22.316464064691882,0.0,175.0,30.039087947882734,65.02959434243701,0,993,127.02605863192183,218.38174730050744,0.0,2617.0,244.28664495114006,467.76518037513915,0.0,5641.0,6.624211391925326,4.635261510082159,0.0,20.77777777777778,25293.016178107806,82678.82337449225,0.0,1174831.472324825,0.6695499556384171,1.6341670515362707,0.0,21.34873719907999,43.638740851673994,29.263409809767168,0.0,100.0,307
bypass,570.8729641693811,774.9783299639637,1,8679,390.76221498371336,637.9866760591984,1,9055,54.127035830618894,80.4710812669368,0,638,123.15309446254072,202.4562230140753,0,2248,119.91530944625407,225.52402157495007,0.0,3138.0,4.609146105482491,5.054683525519963,0.0,47.333333333333336,18.76872964169381,23.340795711786416,0.0,175.0,30.01302931596091,64.8467259689942,0,1000,126.27687296416939,208.5258676278036,0.0,2584.0,242.64820846905536,450.6856070046603,0.0,5569.0,6.791775495168731,4.652902400827215,0.0,20.3943661971831,24717.994851196134,79643.68948763997,0.0,1159430.3344052841,0.6596305158603403,1.5691893930218854,0.0,21.04226296176349,42.792143502740146,28.8028505232968,0.0,100.0,307
ground_truth,584.7799352750809,793.8836502382327,0,8719,399.84789644012943,650.4327476818219,0,9093,55.0,82.07804331735251,0,627,125.7831715210356,205.92436885883328,0,2255,120.78964401294499,232.52055716171625,0.0,3151.0,4.486954451293266,5.204102070918199,0.0,47.333333333333336,18.24271844660194,22.828183489214023,0.0,175.0,30.100323624595468,65.4951641410948,0,1002,126.72491909385113,217.64323256700973,0.0,2604.0,243.67637540453075,465.7175570869401,0.0,5606.0,6.614313492234876,4.781142203957998,0.0,20.3943661971831,25272.047529737913,82202.51180295466,0.0,1166913.5170296575,0.6676715355667858,1.6260164026697737,0.0,21.202851996042185,40.77018444376416,29.25298630277011,0.0,100.0,309
