label,display_name,n_bypass_wins,n_agent_wins,n_ties,count_in_bypass_wins,count_in_agent_wins,count_in_ties,pct_in_bypass_wins,pct_in_agent_wins,pct_in_ties,pct_diff_vs_agent,pct_diff_vs_tie,odds_ratio_vs_agent,odds_ratio_vs_tie,chi2_pval_vs_agent,chi2_pval_vs_tie
favored complexity,Favored Complexity,15,0,294,3,0,150,20.0,0,51.02040816326531,20.0,-31.02040816326531,,0.24,,0.03760097542916378
favored simplicity,Favored Simplicity,15,0,294,11,0,137,73.33333333333333,0,46.59863945578231,73.33333333333333,26.734693877551017,,3.1514598540145986,,0.07894791208371386
fix-oriented,Fix-Oriented,15,0,294,3,0,23,20.0,0,7.8231292517006805,20.0,12.176870748299319,,2.9456521739130435,,0.23786029569289574
structural-change-bias,Structural Change Bias,15,0,294,4,0,111,26.666666666666668,0,37.755102040816325,26.666666666666668,-11.088435374149658,,0.5995085995085995,,0.5533167554897676
detailed-commit-message,Detailed Commit Message,15,0,294,0,0,28,0.0,0,9.523809523809524,0.0,-9.523809523809524,,0.0,,0.4281829653081747
vague-commit-message,Vague Commit Message,15,0,294,4,0,59,26.666666666666668,0,20.068027210884352,26.666666666666668,6.598639455782315,,1.448382126348228,,0.771633913705246
modification-bias,Modification Bias,15,0,294,3,0,70,20.0,0,23.809523809523807,20.0,-3.8095238095238066,,0.8,,0.978279856305447
feature-oriented,Feature-Oriented,15,0,294,1,0,12,6.666666666666667,0,4.081632653061225,6.666666666666667,2.5850340136054424,,1.6785714285714286,,1.0
test-oriented,Test-Oriented,15,0,294,0,0,7,0.0,0,2.380952380952381,0.0,-2.380952380952381,,0.0,,1.0
simple-commit-message,Simple Commit Message,15,0,294,4,0,85,26.666666666666668,0,28.91156462585034,26.666666666666668,-2.244897959183671,,0.8941176470588236,,1.0
refactor-oriented,Refactor-Oriented,15,0,294,0,0,4,0.0,0,1.3605442176870748,0.0,-1.3605442176870748,,0.0,,1.0
unclear,Unclear,15,0,294,1,0,21,6.666666666666667,0,7.142857142857142,6.666666666666667,-0.4761904761904754,,0.9285714285714286,,1.0
lost information (compression),Lost Information,15,0,294,0,0,0,0.0,0,0.0,0.0,0.0,,,,
misprioritization,Misprioritization,15,0,294,0,0,0,0.0,0,0.0,0.0,0.0,,,,
accurate,Accurate,15,0,294,0,0,0,0.0,0,0.0,0.0,0.0,,,,
