model,method,difficulty,n_samples,exact_match_mean,exact_match_std,similarity_mean,similarity_std,bleu3_mean,bleu3_std,rouge_l_mean,rouge_l_std
Qwen3-32B,Agent (Single),easy,877,0.0,0.0,0.592433458026703,0.2684283453605684,0.6161138441469695,0.2781648662749355,0.6559605577452752,0.26380745632664276
Qwen3-32B,Agent (Single),medium,378,0.0,0.0,0.61434373321098,0.24387576485154414,0.6571683759978982,0.25788539204002087,0.6843338969385225,0.23838465857897947
Qwen3-32B,Agent (Single),hard,633,0.0,0.0,0.5617475766830871,0.1780259729090239,0.5898612064235157,0.18761051245916865,0.6323437129335716,0.1769628288357935
Qwen3-32B,Bypass (Multi),easy,877,0.1516533637400228,0.3588892405911247,0.9223301999632232,0.16629931044163948,0.9311581699637009,0.15609053962551056,0.9443108617849314,0.1464962041627005
Qwen3-32B,Bypass (Multi),medium,378,0.12169312169312169,0.32736434978819107,0.9016204804853987,0.16302485034185227,0.9052150160536302,0.16811684026092544,0.9327111644468404,0.13577617467182881
Qwen3-32B,Bypass (Multi),hard,633,0.05529225908372828,0.22873057409412156,0.8843272861018725,0.1442816179941829,0.8871214247432655,0.14968748059589085,0.9162176069606552,0.12938555318481115
LLaMA-3.1-8B,Agent (Single),easy,877,0.0,0.0,0.5271959911110089,0.3250694085837023,0.47006390727346925,0.3886309144076958,0.6186801057735474,0.3052697956706471
LLaMA-3.1-8B,Agent (Single),medium,378,0.0,0.0,0.4500297166474524,0.28632874712340955,0.3770181811198008,0.3545940833088865,0.5619493320612262,0.2759558786751779
LLaMA-3.1-8B,Agent (Single),hard,633,0.0,0.0,0.5417418855330042,0.2308612369844627,0.4967077650543307,0.287110338077034,0.6399906920556276,0.21532733386067157
LLaMA-3.1-8B,Bypass (Multi),easy,877,0.16419612314709237,0.37066483258168254,0.918055557696458,0.16145670782717364,0.9243254568595209,0.15695194836383006,0.9411291198290136,0.13972671573123677
LLaMA-3.1-8B,Bypass (Multi),medium,378,0.10846560846560846,0.31137970565734063,0.8914137868975925,0.1857146065303562,0.8964136935436449,0.1910770286581542,0.9221505823739792,0.16834164556699308
LLaMA-3.1-8B,Bypass (Multi),hard,633,0.06477093206951026,0.2463158662960255,0.8890100638093584,0.13856869018943097,0.8929740040750881,0.14330508706390097,0.919845770792659,0.12509259312141008
GPT-5-nano,Agent (Single),easy,877,0.09692132269099202,0.29601942035527373,0.9019879895972388,0.1532530557705106,0.9217434843357828,0.14750397319775663,0.9335777733152296,0.1251929271499942
GPT-5-nano,Agent (Single),medium,378,0.018518518518518517,0.13499553357745972,0.8362152720343075,0.18589288917508337,0.8655654052505515,0.1902840439958155,0.8902818090527537,0.14760402702789416
GPT-5-nano,Agent (Single),hard,633,0.009478672985781991,0.09697259140763538,0.8526409350139353,0.13947051829889762,0.8733315354895768,0.14212049879590644,0.8952020116473528,0.12455119612051467
GPT-5-nano,Bypass (Multi),easy,877,0.08779931584948689,0.2831643049659285,0.874842532452789,0.19543025111516124,0.8822221567907378,0.19770601198085266,0.9084767915951365,0.17537772932856024
GPT-5-nano,Bypass (Multi),medium,378,0.07142857142857142,0.25788071477756375,0.8441564312765708,0.2105088507990163,0.8514859946224773,0.21935931830107364,0.8861729036127968,0.191369295508429
GPT-5-nano,Bypass (Multi),hard,633,0.04265402843601896,0.2022356894853769,0.8470113060552187,0.16426690617483902,0.850027199632223,0.17176139466359702,0.8884276247197407,0.14768556171081584
