model,conflict_bucket,n,mean_advantage_exact_match,pct_bypass_better_exact_match,mean_advantage_similarity,pct_bypass_better_similarity,mean_advantage_bleu3,pct_bypass_better_bleu3,mean_advantage_rouge_l,pct_bypass_better_rouge_l
GPT-5-nano,1,877,-0.009122006841505131,6.2713797035347785,-0.027145457144449946,48.80273660205245,-0.03952132754504491,32.383124287343215,-0.025100981720093132,40.478905359179016
GPT-5-nano,2-3,527,0.04364326375711575,5.692599620493358,-0.004072191987394615,52.94117647058824,-0.02290703923209245,44.59203036053131,-0.007565539911188935,51.04364326375711
GPT-5-nano,4-10,365,0.038356164383561646,4.383561643835616,-0.005370662107913458,52.054794520547944,-0.024264932342895593,44.38356164383562,-0.010021233852739725,52.87671232876713
GPT-5-nano,11+,119,0.03361344537815126,3.361344537815126,0.029786049659271962,59.66386554621849,0.007185278700442105,56.30252100840336,0.015154930319028552,57.98319327731093
LLaMA-3.1-8B,1,877,0.16419612314709237,16.419612314709237,0.390859566585449,90.19384264538198,0.45426154958605164,88.48346636259977,0.3224490140554662,89.05359179019385
LLaMA-3.1-8B,2-3,527,0.0872865275142315,8.72865275142315,0.4023835352615352,90.89184060721063,0.46176301303146,86.90702087286527,0.3262768981365073,90.5123339658444
LLaMA-3.1-8B,4-10,365,0.08493150684931507,8.493150684931507,0.3708832933285584,92.87671232876711,0.4322270421581104,90.41095890410958,0.30267525984049304,91.78082191780823
LLaMA-3.1-8B,11+,119,0.04201680672268908,4.201680672268908,0.3297093298801035,88.23529411764706,0.3870256700929636,91.59663865546219,0.25949531343732823,87.39495798319328
Qwen3-32B,1,877,0.1516533637400228,15.16533637400228,0.32989674193652,96.00912200684151,0.3150443258167315,94.18472063854047,0.2883503040396562,96.46522234891675
Qwen3-32B,2-3,527,0.09108159392789374,9.108159392789373,0.3054025595302009,95.06641366223909,0.27454490877120064,92.97912713472486,0.26791657268692415,95.44592030360532
Qwen3-32B,4-10,365,0.07123287671232877,7.123287671232877,0.31248352753670045,95.61643835616438,0.28190118168408496,92.87671232876711,0.2718247767311735,96.16438356164385
Qwen3-32B,11+,119,0.058823529411764705,5.88235294117647,0.3174784042731932,94.9579831932773,0.2886407554651636,92.43697478991596,0.2787454178521077,94.11764705882352
