model,method,scenario_metric,performance_metric,n_samples,spearman_r,spearman_p,pearson_r,pearson_p
GPT-5-nano,Agent (Single),n_total_conflicts,bleu3,1888,-0.3437001838592093,1.749141316647591e-53,-0.10857712016382856,2.2600807884197514e-06
GPT-5-nano,Agent (Single),n_total_conflicts,rouge_l,1888,-0.32774306518936513,1.6181099503584184e-48,-0.09192133774860603,6.336639042430382e-05
GPT-5-nano,Agent (Single),n_total_conflicts,similarity,1888,-0.32430599827976264,1.7399690550246143e-47,-0.11047455549623551,1.4957767184918906e-06
GPT-5-nano,Agent (Single),n_conflict_files,bleu3,1888,-0.2549766245590468,2.1085506610522902e-29,-0.06476001899071498,0.004877919693085772
GPT-5-nano,Agent (Single),n_conflict_files,rouge_l,1888,-0.23828093952261373,8.796177171494729e-26,-0.0589130440462806,0.010456183252921887
Qwen3-32B,Bypass (Multi),n_total_conflicts,bleu3,1888,-0.23719660814639992,1.479233659660608e-25,-0.07321017769905089,0.0014564197463330264
Qwen3-32B,Bypass (Multi),n_total_conflicts,rouge_l,1888,-0.23623620835422293,2.339009998816807e-25,-0.05214661838403746,0.023459335560552796
Qwen3-32B,Bypass (Multi),n_total_conflicts,similarity,1888,-0.2351638030245207,3.8921155908445177e-25,-0.06445930068098318,0.005080448681684419
Qwen3-32B,Bypass (Multi),n_conflict_files,rouge_l,1888,-0.23234569678803257,1.4658088903067387e-24,-0.05990303015227161,0.009228583855750176
Qwen3-32B,Bypass (Multi),n_conflict_files,bleu3,1888,-0.2322463722266254,1.5354507292608221e-24,-0.0730821441361419,0.0014847495911625035
All Models (avg),Bypass (Multi),n_total_conflicts,similarity,1888,-0.2292154456211522,6.263953485901868e-24,-0.06022524298917799,0.008857716772433017
Qwen3-32B,Bypass (Multi),n_conflict_files,similarity,1888,-0.22749619566247875,1.3782169666367398e-23,-0.06710647167377481,0.0035317891729249587
All Models (avg),Bypass (Multi),n_total_conflicts,rouge_l,1888,-0.227034210939643,1.70162725150978e-23,-0.04663306249775045,0.04276282181499972
GPT-5-nano,Agent (Single),n_conflict_files,similarity,1888,-0.2266226980192402,2.052291883566822e-23,-0.059154576615665685,0.010143991432782629
LLaMA-3.1-8B,Bypass (Multi),n_total_conflicts,similarity,1888,-0.22402157697926942,6.650957772202739e-23,-0.05549584433707691,0.01588189932706599
All Models (avg),Bypass (Multi),n_total_conflicts,bleu3,1888,-0.2217194309345952,1.8599402248474698e-22,-0.0653922458958442,0.004475738709739776
LLaMA-3.1-8B,Bypass (Multi),n_total_conflicts,rouge_l,1888,-0.21711034062099446,1.4082164029220039e-21,-0.04088345357039287,0.07573325396445961
LLaMA-3.1-8B,Bypass (Multi),n_total_conflicts,bleu3,1888,-0.21700897443935577,1.4715694358168252e-21,-0.05504251334827562,0.016761939883265527
