model,method,project_size,n_samples,exact_match_mean,exact_match_std,similarity_mean,similarity_std,bleu3_mean,bleu3_std,rouge_l_mean,rouge_l_std
Qwen3-32B,Agent (Single),small,103,0.0,0.0,0.5268530422414006,0.19785693298192572,0.5651731600550579,0.20083880292935263,0.6082438508515529,0.18978073130731513
Qwen3-32B,Agent (Single),medium,1088,0.0,0.0,0.5925299571892164,0.23723580066050465,0.6228938299305171,0.24690464787301916,0.6596029846173069,0.23159811633443828
Qwen3-32B,Agent (Single),large,600,0.0,0.0,0.5835236357984013,0.24279668156399817,0.6105496112656617,0.25594673815673136,0.6501707998649533,0.24166776139517981
Qwen3-32B,Agent (Single),huge,97,0.0,0.0,0.6012335219772249,0.2364970656903616,0.617242700007346,0.25446343424753043,0.6580365840413083,0.24166489815014833
Qwen3-32B,Bypass (Multi),small,103,0.17475728155339806,0.3816163884860883,0.9133793834510299,0.12778617094934058,0.9142977506145978,0.1333904928921088,0.9416691162940922,0.09902289773719913
Qwen3-32B,Bypass (Multi),medium,1088,0.1213235294117647,0.3266530307530229,0.9046049893931288,0.16426273260595758,0.9081891278004852,0.16835631865441092,0.9313171670807524,0.14697042208835795
Qwen3-32B,Bypass (Multi),large,600,0.09666666666666666,0.29574989809961405,0.9091653233622219,0.15245558622049904,0.9200961436683124,0.13613801415229768,0.9360734271133185,0.127606290358427
Qwen3-32B,Bypass (Multi),huge,97,0.061855670103092786,0.24214462748233068,0.883379382692779,0.175582904762627,0.8866466745124323,0.1781254914474811,0.9152797744561251,0.15613239235890145
LLaMA-3.1-8B,Agent (Single),small,103,0.0,0.0,0.7058093970840711,0.2463947377576537,0.6794952475360647,0.29913969093913984,0.789549736428249,0.20106841312354726
LLaMA-3.1-8B,Agent (Single),medium,1088,0.0,0.0,0.5174512638989834,0.28789110329005285,0.4637941540719336,0.35276453016619025,0.6163102875369186,0.2711176578595528
LLaMA-3.1-8B,Agent (Single),large,600,0.0,0.0,0.49220874005416637,0.28877267363407133,0.42687971054421797,0.3478620262827162,0.5914126402434977,0.27410846498110936
LLaMA-3.1-8B,Agent (Single),huge,97,0.0,0.0,0.45746539778588075,0.30126898405605845,0.3964026594690647,0.3599979300654521,0.5504805001585682,0.292446329759931
LLaMA-3.1-8B,Bypass (Multi),small,103,0.18446601941747573,0.3897604295736685,0.9052021641950835,0.13848316915962697,0.9008591697123466,0.16027091258108236,0.9325306974728419,0.1177929445086358
LLaMA-3.1-8B,Bypass (Multi),medium,1088,0.12408088235294118,0.3298254129378813,0.9044321955663156,0.15941872761667034,0.9081172023365165,0.16477692782248304,0.9310688368407991,0.14382841388756337
LLaMA-3.1-8B,Bypass (Multi),large,600,0.10166666666666667,0.3024616128828059,0.8996510872638184,0.16436008718973721,0.9095145084776061,0.153380334637313,0.9280006335781362,0.1406860968125037
LLaMA-3.1-8B,Bypass (Multi),huge,97,0.1134020618556701,0.31873083797938,0.9049876483698096,0.16375380357524225,0.909295161811989,0.16194960362174307,0.9314597388637973,0.14830081541829138
GPT-5-nano,Agent (Single),small,103,0.0970873786407767,0.2975245287893024,0.9032201009159234,0.12165342480230494,0.9190935533422603,0.12109865592767204,0.9343920242315623,0.09491894698723456
GPT-5-nano,Agent (Single),medium,1088,0.042279411764705885,0.20131843961632642,0.8755369397862076,0.15384818731990663,0.8948194463836953,0.15740482438060788,0.913541026951143,0.13019188878191432
GPT-5-nano,Agent (Single),large,600,0.056666666666666664,0.23139748677048128,0.8640209370197537,0.1652625328380773,0.8927244031345564,0.15273979490460698,0.9080306395826646,0.13174478981884735
GPT-5-nano,Agent (Single),huge,97,0.08247422680412371,0.276514884047236,0.8538776131544503,0.19428440495175034,0.8712039729035576,0.20934735790704218,0.8963268538544167,0.167244926648142
GPT-5-nano,Bypass (Multi),small,103,0.06796116504854369,0.2529099631439079,0.8721913262201372,0.1696349700855039,0.872960019791082,0.18635146094192062,0.909103151328565,0.14966732904401925
GPT-5-nano,Bypass (Multi),medium,1088,0.06433823529411764,0.24546732466615526,0.8477292826324756,0.20379384241066337,0.8513275218975551,0.21460148636490461,0.8856051797691693,0.1886954704693994
GPT-5-nano,Bypass (Multi),large,600,0.08,0.2715195599812667,0.8732420849512743,0.165604831818478,0.8848027679479511,0.15545413433884603,0.9125431826708761,0.13752680635164427
GPT-5-nano,Bypass (Multi),huge,97,0.061855670103092786,0.24214462748233073,0.8904718725878459,0.16862263422085927,0.8927512186410163,0.17380052913554392,0.9214455717932327,0.1466235145108618
