model,scenario_metric,advantage_metric,n,spearman_r,spearman_p
LLaMA-3.1-8B,repo_commits,advantage_bleu3,1888,0.15168080419972485,3.479527890503722e-11
LLaMA-3.1-8B,repo_commits,advantage_rouge_l,1888,0.14835669355513165,9.302476561122315e-11
LLaMA-3.1-8B,repo_commits,advantage_similarity,1888,0.13886142723630138,1.369154086135601e-09
Qwen3-32B,n_conflict_files,advantage_exact_match,1888,-0.1306555959707545,1.2135451860810149e-08
LLaMA-3.1-8B,n_total_conflicts,advantage_exact_match,1888,-0.12519491899291632,4.822266151761545e-08
LLaMA-3.1-8B,repo_code_lines,advantage_bleu3,1888,0.12150529612895995,1.1857669576403421e-07
LLaMA-3.1-8B,n_conflict_files,advantage_exact_match,1888,-0.1211147900124903,1.3022436568900224e-07
LLaMA-3.1-8B,repo_contributors,advantage_bleu3,1888,0.12105466089375924,1.321133707304243e-07
Qwen3-32B,n_total_conflicts,advantage_exact_match,1888,-0.11792733006505844,2.7676261345201405e-07
LLaMA-3.1-8B,repo_contributors,advantage_rouge_l,1888,0.11679607395901218,3.599852771154157e-07
LLaMA-3.1-8B,repo_code_lines,advantage_rouge_l,1888,0.11673957192535145,3.647201027282472e-07
LLaMA-3.1-8B,repo_code_lines,advantage_similarity,1888,0.11528477689227072,5.095277780344732e-07
LLaMA-3.1-8B,repo_contributors,advantage_similarity,1888,0.11309726557215252,8.360308431729295e-07
LLaMA-3.1-8B,n_conflict_files,advantage_bleu3,1888,-0.11167313313764939,1.1484448035512117e-06
GPT-5-nano,repo_code_lines,advantage_rouge_l,1888,0.10992344340197041,1.6874717198231248e-06
GPT-5-nano,repo_code_lines,advantage_similarity,1888,0.10920077377085764,1.9748357262384355e-06
GPT-5-nano,repo_code_lines,advantage_bleu3,1888,0.10325641707374218,6.935551111341202e-06
LLaMA-3.1-8B,n_conflict_files,advantage_similarity,1888,-0.09820647159984686,1.9140192383116748e-05
Qwen3-32B,repo_commits,advantage_exact_match,1888,-0.09655296471282838,2.641261797747611e-05
GPT-5-nano,repo_commits,advantage_rouge_l,1888,0.09107842702371903,7.398960973696449e-05
