id,n_conflict_files,n_total_conflicts,repo_commits,repo_code_lines,repo_contributors,difficulty,project_size
233897411715,1,1,976,15211,138,easy,medium
41671245706,1,1,265,2786,13,easy,small
271188139480,1,1,2478,22609,73,easy,medium
887886114976,1,1,1827,11103,92,easy,medium
192974181015,1,1,4122,272515,295,easy,large
408097521578,1,1,4122,272515,295,easy,large
294960502166,1,1,4122,272515,295,easy,large
530345427777,1,1,4122,272515,295,easy,large
744412747774,1,1,4122,272515,295,easy,large
725623497961,1,1,14027,495712,350,easy,large
822687353565,1,1,14027,495712,350,easy,large
764624943018,1,1,14027,495712,350,easy,large
935494102851,1,1,14027,495712,350,easy,large
59731440743,1,1,14027,495712,350,easy,large
455519918518,1,1,14027,495712,350,easy,large
83402143959,1,1,14027,495712,350,easy,large
224247888380,1,1,1056,11772,35,easy,medium
663957355663,1,1,1056,11772,35,easy,medium
259612291589,1,1,2583,95351,63,easy,medium
552489197270,1,1,2583,95351,63,easy,medium
144051701748,1,1,2583,95351,63,easy,medium
160767656621,1,1,2583,95351,63,easy,medium
797869763280,1,1,2583,95351,63,easy,medium
901787813821,1,1,2583,95351,63,easy,medium
484604872581,1,1,2583,95351,63,easy,medium
875104636468,1,1,2583,95351,63,easy,medium
320713865506,1,1,2583,95351,63,easy,medium
816101673573,1,1,2583,95351,63,easy,medium
889687583564,1,1,804,53102,86,easy,medium
646663356449,1,1,804,53102,86,easy,medium
14222973267,1,1,804,53102,86,easy,medium
887262333435,1,1,804,53102,86,easy,medium
387387732626,1,1,1363,112168,109,easy,large
894449030687,1,1,1603,44596,123,easy,medium
979769281315,1,1,1603,44596,123,easy,medium
410944372777,1,1,1855,29363,103,easy,medium
39207980038,1,1,1855,29363,103,easy,medium
738093286140,1,1,1855,29363,103,easy,medium
320227862460,1,1,19796,1241373,436,easy,huge
100853987825,1,1,19796,1241373,436,easy,huge
963888525647,1,1,19796,1241373,436,easy,huge
292384393329,1,1,19796,1241373,436,easy,huge
196807749657,1,1,19796,1241373,436,easy,huge
911193036416,1,1,19796,1241373,436,easy,huge
72809415679,1,1,19796,1241373,436,easy,huge
899892906797,1,1,19796,1241373,436,easy,huge
297201202449,1,1,19796,1241373,436,easy,huge
377149048565,1,1,19796,1241373,436,easy,huge
42053761198,1,1,19796,1241373,436,easy,huge
464900646413,1,1,19796,1241373,436,easy,huge
597032650655,1,1,19796,1241373,436,easy,huge
849853816180,1,1,19796,1241373,436,easy,huge
416718946157,1,1,1594,417005,152,easy,large
634732030700,1,1,5584,58851,81,easy,medium
543704006397,1,1,5584,58851,81,easy,medium
523613345648,1,1,5584,58851,81,easy,medium
664190296136,1,1,5584,58851,81,easy,medium
991528421637,1,1,5584,58851,81,easy,medium
709290044412,1,1,5584,58851,81,easy,medium
659905908388,1,1,5584,58851,81,easy,medium
534740447932,1,1,5584,58851,81,easy,medium
278489793921,1,1,5584,58851,81,easy,medium
971107018593,1,1,5584,58851,81,easy,medium
745011378403,1,1,5584,58851,81,easy,medium
127442621803,1,1,5584,58851,81,easy,medium
40935863883,1,1,5584,58851,81,easy,medium
921632145612,1,1,5584,58851,81,easy,medium
37073897055,1,1,5584,58851,81,easy,medium
652033562017,1,1,5584,58851,81,easy,medium
278855794417,1,1,5584,58851,81,easy,medium
241210066237,1,1,5584,58851,81,easy,medium
45553492800,1,1,5584,58851,81,easy,medium
793069579776,1,1,5584,58851,81,easy,medium
536168166896,1,1,5584,58851,81,easy,medium
421522830744,1,1,13258,953154,401,easy,large
324834716438,1,1,13258,953154,401,easy,large
779676937321,1,1,13258,953154,401,easy,large
244282362208,1,1,13258,953154,401,easy,large
237088721185,1,1,13258,953154,401,easy,large
613725885182,1,1,6702,301264,77,easy,large
861045220386,1,1,6702,301264,77,easy,large
906273879128,1,1,7136,245677,302,easy,large
45020413971,1,1,7136,245677,302,easy,large
471535256630,1,1,7136,245677,302,easy,large
751609147728,1,1,2397,30780,114,easy,medium
883881517699,1,1,2397,30780,114,easy,medium
509766538380,1,1,2397,30780,114,easy,medium
129221788975,1,1,2397,30780,114,easy,medium
810651792051,1,1,2397,30780,114,easy,medium
616198966979,1,1,5716,491328,197,easy,large
565830903795,1,1,5716,491328,197,easy,large
716044946624,1,1,5716,491328,197,easy,large
97369867525,1,1,5716,491328,197,easy,large
