model,project_size,n,mean_advantage_exact_match,pct_bypass_better_exact_match,mean_advantage_similarity,pct_bypass_better_similarity,mean_advantage_bleu3,pct_bypass_better_bleu3,mean_advantage_rouge_l,pct_bypass_better_rouge_l
GPT-5-nano,small,103,-0.02912621359223301,4.854368932038835,-0.03102877469578616,42.71844660194174,-0.046133533551178225,24.271844660194176,-0.025288872902997472,36.89320388349515
GPT-5-nano,medium,1088,0.022058823529411766,5.422794117647059,-0.027807657153732013,48.4375,-0.043491924486140074,38.05147058823529,-0.02793584718197359,44.669117647058826
GPT-5-nano,large,600,0.023333333333333334,6.0,0.00922114793152071,55.50000000000001,-0.00792163518660523,42.66666666666667,0.004512543088211686,50.5
GPT-5-nano,huge,97,-0.020618556701030927,5.154639175257731,0.03659425943339548,65.97938144329896,0.0215472457374588,54.63917525773196,0.025118717938815937,60.824742268041234
LLaMA-3.1-8B,small,103,0.18446601941747573,18.446601941747574,0.1993927671110126,78.64077669902912,0.221363922176282,75.72815533980582,0.14298096104459296,78.64077669902912
LLaMA-3.1-8B,medium,1088,0.12408088235294118,12.408088235294118,0.3869809316673322,90.44117647058823,0.44432304826458285,88.51102941176471,0.3147585493038805,89.79779411764706
LLaMA-3.1-8B,large,600,0.10166666666666667,10.166666666666666,0.407442347209652,93.33333333333333,0.4826347979333879,90.5,0.33658799333463824,91.66666666666666
LLaMA-3.1-8B,huge,97,0.1134020618556701,11.34020618556701,0.4475222505839288,91.75257731958763,0.5128925023429243,91.75257731958763,0.3809792387052291,91.75257731958763
Qwen3-32B,small,103,0.17475728155339806,17.475728155339805,0.38652634120962936,98.05825242718447,0.34912459055953965,98.05825242718447,0.3334252654425393,99.02912621359224
Qwen3-32B,medium,1088,0.1213235294117647,12.132352941176471,0.31207503220391236,95.49632352941177,0.28529529786996805,93.10661764705883,0.2717141824634456,95.77205882352942
Qwen3-32B,large,600,0.09666666666666666,9.666666666666666,0.3256416875638206,95.66666666666667,0.3095465324026508,93.5,0.28590262724836524,96.16666666666667
Qwen3-32B,huge,97,0.061855670103092786,6.185567010309279,0.2821458607155541,93.81443298969072,0.26940397450508635,92.78350515463917,0.25724319041481686,93.81443298969072
