model_name,bj_decision,n,mean_delta,ci_low,ci_high,would_bypass
openai/gpt-5-nano,A,264,0.050484190038724175,0.03024824075332084,0.07084046094871668,True
openai/gpt-5-nano,B,243,0.046279798765259395,0.024178823684284534,0.06844040078860178,True
openai/gpt-5-nano,MIX,850,0.0012345226254109696,-0.007468289072136276,0.010526568332202182,False
openrouter/meta-llama/llama-3.1-8b-instruct,A,1683,0.07003473138171387,0.06115002484887596,0.07897456468833866,True
openrouter/meta-llama/llama-3.1-8b-instruct,B,566,0.05177095169320524,0.03478637610960439,0.06643981810557996,True
openrouter/meta-llama/llama-3.1-8b-instruct,MIX,252,-0.0010197865943764421,-0.012323799971194212,0.010190649994832567,False
