model_name,method,metric,n,mean,ci_low,ci_high
openai/gpt-5-nano,base_a,exact_match,1355,0.15645756457564575,0.1354059040590406,0.17490774907749077
openai/gpt-5-nano,base_a,similarity,1355,0.9153091327666569,0.9068397089394499,0.9254370682809158
openai/gpt-5-nano,base_a,bleu3,1355,0.921267326354063,0.9125566251556327,0.931064910864649
openai/gpt-5-nano,base_a,rouge_l,1355,0.9397807203595759,0.9320865962234671,0.9484105174286759
openai/gpt-5-nano,base_b,exact_match,1355,0.14464944649446496,0.12841328413284134,0.16383763837638377
openai/gpt-5-nano,base_b,similarity,1355,0.9030604083157979,0.894040377964358,0.9112952682742708
openai/gpt-5-nano,base_b,bleu3,1355,0.9047176856391632,0.8949599671105176,0.9133373530772039
openai/gpt-5-nano,base_b,rouge_l,1355,0.9311397834002025,0.9232590394247752,0.9384657882438251
openai/gpt-5-nano,agent,exact_match,1356,0.08480825958702065,0.07079646017699115,0.10176991150442478
openai/gpt-5-nano,agent,similarity,1356,0.8885480011800321,0.8800931442051578,0.8969949175412343
openai/gpt-5-nano,agent,bleu3,1356,0.9089876726612314,0.900491466804836,0.9171683494734321
openai/gpt-5-nano,agent,rouge_l,1356,0.9246193191643148,0.9179792279184805,0.9313937194043465
openai/gpt-5-nano,bj_no_summary,exact_match,1356,0.14896755162241887,0.13161873156342183,0.16705383480825955
openai/gpt-5-nano,bj_no_summary,similarity,1356,0.8957274341973458,0.8870818591685606,0.9044808899566679
openai/gpt-5-nano,bj_no_summary,bleu3,1356,0.9092802981398057,0.9005566365641419,0.9183870515999955
openai/gpt-5-nano,bj_no_summary,rouge_l,1356,0.9273842039281773,0.9205973467027223,0.9342990975212366
openai/gpt-5-nano,bj_no_judge,exact_match,1356,0.0715339233038348,0.0571349557522124,0.0844579646017699
openai/gpt-5-nano,bj_no_judge,similarity,1356,0.8715782111047425,0.8619810434633296,0.8805435263022233
openai/gpt-5-nano,bj_no_judge,bleu3,1356,0.8893211538867661,0.8790936826922917,0.8983352261090286
openai/gpt-5-nano,bj_no_judge,rouge_l,1356,0.9117209418049051,0.9040358920739584,0.9192424369320937
openai/gpt-5-nano,bj_no_plan,exact_match,1356,0.12684365781710916,0.1084070796460177,0.14380530973451328
openai/gpt-5-nano,bj_no_plan,similarity,1356,0.8899957228515699,0.8802716912851518,0.8998890618299865
openai/gpt-5-nano,bj_no_plan,bleu3,1356,0.902971470303088,0.8938024018312789,0.9126558603949707
openai/gpt-5-nano,bj_no_plan,rouge_l,1356,0.9244936371787459,0.9163378280325378,0.9320595957167008
openai/gpt-5-nano,bj_no_review,exact_match,1356,0.13938053097345132,0.12055678466076697,0.15781710914454278
openai/gpt-5-nano,bj_no_review,similarity,1356,0.8952898038005548,0.886206042350332,0.9053809478317709
openai/gpt-5-nano,bj_no_review,bleu3,1356,0.9092177219047995,0.900260616564645,0.9183483162112306
openai/gpt-5-nano,bj_no_review,rouge_l,1356,0.9284748484880192,0.9213231681861417,0.9359216953161145
openai/gpt-5-nano,better_judge,exact_match,1356,0.14233038348082597,0.12463126843657817,0.16224188790560473
openai/gpt-5-nano,better_judge,similarity,1356,0.8904612258918,0.8813037991518136,0.8990277135033289
openai/gpt-5-nano,better_judge,bleu3,1356,0.9051406240159591,0.8955234516748727,0.9137353281803524
openai/gpt-5-nano,better_judge,rouge_l,1356,0.9248315294048373,0.9173781648491564,0.9321592808068564
openrouter/meta-llama/llama-3.1-8b-instruct,base_a,exact_match,2500,0.1628,0.1488,0.17801999999999998
openrouter/meta-llama/llama-3.1-8b-instruct,base_a,similarity,2500,0.9039742787782056,0.8970966573139952,0.9108606228947265
openrouter/meta-llama/llama-3.1-8b-instruct,base_a,bleu3,2500,0.9085056843701929,0.9016056606799213,0.9158062640310655
openrouter/meta-llama/llama-3.1-8b-instruct,base_a,rouge_l,2500,0.931185806791735,0.9253983575552746,0.9373244908310933
openrouter/meta-llama/llama-3.1-8b-instruct,base_b,exact_match,2500,0.1764,0.1612,0.1904
openrouter/meta-llama/llama-3.1-8b-instruct,base_b,similarity,2500,0.8896059089815833,0.8819246934450466,0.8967530860545144
openrouter/meta-llama/llama-3.1-8b-instruct,base_b,bleu3,2500,0.8924500591870878,0.8840613880071548,0.8998337392105537
openrouter/meta-llama/llama-3.1-8b-instruct,base_b,rouge_l,2500,0.919889694810463,0.9131825435885791,0.9263350954326982
openrouter/meta-llama/llama-3.1-8b-instruct,agent,exact_match,2500,0.026,0.0204,0.0324
openrouter/meta-llama/llama-3.1-8b-instruct,agent,similarity,2500,0.7767895184288798,0.7667359617286881,0.7865597415992861
openrouter/meta-llama/llama-3.1-8b-instruct,agent,bleu3,2500,0.7951971955403709,0.7840162306818457,0.8058188130245135
openrouter/meta-llama/llama-3.1-8b-instruct,agent,rouge_l,2500,0.8291104988605166,0.8196350204686687,0.8380418073286974
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_summary,exact_match,2500,0.158,0.14339,0.17060999999999998
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_summary,similarity,2500,0.8983792094332849,0.8911351571707702,0.9054249133254252
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_summary,bleu3,2500,0.9081682655011173,0.9007256898563584,0.9150637104977253
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_summary,rouge_l,2500,0.927884110352365,0.921726569967078,0.9342265084774957
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_judge,exact_match,2500,0.0208,0.015390000000000004,0.0264
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_judge,similarity,2500,0.8462311188199845,0.838538692131579,0.854110295260009
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_judge,bleu3,2500,0.8772028598247936,0.8694939207701428,0.8847538516024593
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_judge,rouge_l,2500,0.8958602903199968,0.8895363058345616,0.9019950386989556
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_plan,exact_match,2500,0.1696,0.156,0.1836
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_plan,similarity,2500,0.9065923853778535,0.9002072710165508,0.9132041379635132
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_plan,bleu3,2500,0.9134697310436676,0.906557552803877,0.9197826742454706
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_plan,rouge_l,2500,0.9342991883862822,0.9288727021823511,0.9399385391369289
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_review,exact_match,2500,0.1716,0.15778999999999999,0.18580999999999998
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_review,similarity,2500,0.9070024129150832,0.9006414900689551,0.9138461876666333
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_review,bleu3,2500,0.912167869786313,0.9058383617770603,0.9187640885673295
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_review,rouge_l,2500,0.933959207978402,0.9284972342106287,0.9401223748690897
openrouter/meta-llama/llama-3.1-8b-instruct,better_judge,exact_match,2500,0.1708,0.1568,0.18481999999999998
openrouter/meta-llama/llama-3.1-8b-instruct,better_judge,similarity,2500,0.9050001936634217,0.8986906205996046,0.9116071705958395
openrouter/meta-llama/llama-3.1-8b-instruct,better_judge,bleu3,2500,0.911207344676596,0.9038826341151825,0.9180929988992065
openrouter/meta-llama/llama-3.1-8b-instruct,better_judge,rouge_l,2500,0.9331151543287038,0.9278066660570791,0.9389763448617161
