model_name,method,n,mean_exact_match,mean_similarity,mean_bleu3,mean_rouge_l,mean_total_cost,mean_tokens_total,mean_processing_time_s
openai/gpt-5-nano,agent,1356,0.08480825958702065,0.8885480011800321,0.9089876726612314,0.9246193191643148,0.002639825958702065,13758.758112094396,218.7988237463127
openai/gpt-5-nano,better_judge,1356,0.14233038348082597,0.8904612258918,0.9051406240159591,0.9248315294048373,0.006997708702064898,52604.06710914454,699.5194564896755
openai/gpt-5-nano,bj_no_summary,1356,0.14896755162241887,0.8957274341973458,0.9092802981398057,0.9273842039281773,0.004242100294985251,31905.31563421829,463.1609085545723
openai/gpt-5-nano,bj_no_judge,1356,0.0715339233038348,0.8715782111047425,0.8893211538867661,0.9117209418049051,0.00915629424778761,56437.37315634218,892.1727448377582
openai/gpt-5-nano,bj_no_plan,1356,0.12684365781710916,0.8899957228515699,0.902971470303088,0.9244936371787459,0.00340427802359882,34349.94174041298,309.38094321533924
openai/gpt-5-nano,bj_no_review,1356,0.13938053097345132,0.8952898038005548,0.9092177219047995,0.9284748484880192,0.003430377581120944,34427.12315634218,308.09510988200594
openrouter/meta-llama/llama-3.1-8b-instruct,agent,2500,0.026,0.7767895184288798,0.7951971955403709,0.8291104988605166,0.0007678912,12546.4416,187.5424764
openrouter/meta-llama/llama-3.1-8b-instruct,better_judge,2500,0.1708,0.9050001936634217,0.911207344676596,0.9331151543287038,0.0025788504,47893.8208,279.719738
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_summary,2500,0.158,0.8983792094332849,0.9081682655011173,0.927884110352365,0.0014763112,27610.2312,184.0163068
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_judge,2500,0.0208,0.8462311188199845,0.8772028598247936,0.8958602903199968,0.0023023168,38377.4044,229.249596
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_plan,2500,0.1696,0.9065923853778535,0.9134697310436676,0.9342991883862822,0.002505888,46728.0696,185.50806880000002
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_review,2500,0.1716,0.9070024129150832,0.912167869786313,0.933959207978402,0.0025121472000000002,46844.9084,191.66990879999997
