model_name,comparison,method_a,method_b,metric,n_pairs,wins,ties,losses,win_pct,tie_pct,loss_pct,mean_delta,p_value
openai/gpt-5-nano,anchor_vs_ablation,better_judge,bj_no_summary,exact_match,1356,64,1219,73,0.0471976401179941,0.8989675516224189,0.05383480825958702,-0.00663716814159292,0.4944424524331343
openai/gpt-5-nano,anchor_vs_ablation,better_judge,bj_no_judge,exact_match,1356,136,1180,40,0.10029498525073746,0.8702064896755162,0.029498525073746312,0.07079646017699115,1.9447875222414062e-13
openai/gpt-5-nano,anchor_vs_ablation,better_judge,bj_no_plan,exact_match,1356,84,1209,63,0.061946902654867256,0.8915929203539823,0.046460176991150445,0.015486725663716814,0.09870072731432862
openai/gpt-5-nano,anchor_vs_ablation,better_judge,bj_no_review,exact_match,1356,80,1200,76,0.058997050147492625,0.8849557522123894,0.05604719764011799,0.0029498525073746312,0.8102758772916921
openai/gpt-5-nano,method_vs_agent,better_judge,agent,exact_match,1356,140,1154,62,0.10324483775811209,0.8510324483775811,0.045722713864306784,0.05752212389380531,4.1425708123221294e-08
openai/gpt-5-nano,method_vs_agent,bj_no_summary,agent,exact_match,1356,154,1135,67,0.11356932153392331,0.8370206489675516,0.049410029498525077,0.06415929203539823,4.6284384329246696e-09
openai/gpt-5-nano,method_vs_agent,bj_no_judge,agent,exact_match,1356,48,1242,66,0.035398230088495575,0.915929203539823,0.048672566371681415,-0.01327433628318584,0.11093931188461242
openai/gpt-5-nano,method_vs_agent,bj_no_plan,agent,exact_match,1356,113,1187,56,0.08333333333333333,0.8753687315634219,0.04129793510324484,0.0420353982300885,1.3829511795728442e-05
openai/gpt-5-nano,method_vs_agent,bj_no_review,agent,exact_match,1356,127,1176,53,0.09365781710914454,0.8672566371681416,0.03908554572271387,0.05457227138643068,3.4319699653170795e-08
openrouter/meta-llama/llama-3.1-8b-instruct,anchor_vs_ablation,better_judge,bj_no_summary,exact_match,2500,106,2320,74,0.0424,0.928,0.0296,0.0128,0.02059704542276809
openrouter/meta-llama/llama-3.1-8b-instruct,anchor_vs_ablation,better_judge,bj_no_judge,exact_match,2500,397,2081,22,0.1588,0.8324,0.0088,0.15,3.876078452202342e-90
openrouter/meta-llama/llama-3.1-8b-instruct,anchor_vs_ablation,better_judge,bj_no_plan,exact_match,2500,21,2461,18,0.0084,0.9844,0.0072,0.0012,0.7492586247608418
openrouter/meta-llama/llama-3.1-8b-instruct,anchor_vs_ablation,better_judge,bj_no_review,exact_match,2500,24,2450,26,0.0096,0.98,0.0104,-0.0008,0.887724827340783
openrouter/meta-llama/llama-3.1-8b-instruct,method_vs_agent,better_judge,agent,exact_match,2500,397,2068,35,0.1588,0.8272,0.014,0.1448,8.107205386975559e-79
openrouter/meta-llama/llama-3.1-8b-instruct,method_vs_agent,bj_no_summary,agent,exact_match,2500,369,2092,39,0.1476,0.8368,0.0156,0.132,1.660930786585641e-68
openrouter/meta-llama/llama-3.1-8b-instruct,method_vs_agent,bj_no_judge,agent,exact_match,2500,25,2437,38,0.01,0.9748,0.0152,-0.0052,0.12991792302255253
openrouter/meta-llama/llama-3.1-8b-instruct,method_vs_agent,bj_no_plan,agent,exact_match,2500,394,2071,35,0.1576,0.8284,0.014,0.1436,5.034200167414638e-78
