model_name,ablation,component,metric,n_pairs,mean_anchor,mean_ablation,mean_delta,ci_low,ci_high,p_value,test,wins,ties,losses,component_label
openai/gpt-5-nano,bj_no_summary,bj_no_summary,exact_match,1356,0.14233038348082597,0.14896755162241887,-0.00663716814159292,-0.024336283185840708,0.011799410029498525,0.4944424524331343,binomial_sign,64,1219,73,Summarizer
openai/gpt-5-nano,bj_no_summary,bj_no_summary,similarity,1356,0.8904612258918,0.8957274341973459,-0.005266208305546008,-0.013466933022969975,0.002424148102654951,0.006832877234065331,wilcoxon,469,344,543,Summarizer
openai/gpt-5-nano,bj_no_summary,bj_no_summary,bleu3,1356,0.9051406240159591,0.9092802981398057,-0.004139674123846489,-0.013120751828933836,0.004804842059609449,0.08280767014835654,wilcoxon,461,386,509,Summarizer
openai/gpt-5-nano,bj_no_summary,bj_no_summary,rouge_l,1356,0.9248315294048373,0.9273842039281773,-0.0025526745233401755,-0.008888793296060054,0.003482922775152617,0.008664006363510873,wilcoxon,442,393,521,Summarizer
openai/gpt-5-nano,bj_no_judge,bj_no_judge,exact_match,1356,0.14233038348082597,0.0715339233038348,0.07079646017699115,0.051972713864306797,0.09035766961651916,1.9447875222414062e-13,binomial_sign,136,1180,40,Analyzer (routing)
openai/gpt-5-nano,bj_no_judge,bj_no_judge,similarity,1356,0.8904612258918,0.8715782111047424,0.018883014787057374,0.011041621643981779,0.027141042893735503,5.469762455965443e-10,wilcoxon,731,124,501,Analyzer (routing)
openai/gpt-5-nano,bj_no_judge,bj_no_judge,bleu3,1356,0.9051406240159591,0.889321153886766,0.0158194701291931,0.007685431204017186,0.02465478776865854,6.596731816957641e-07,wilcoxon,673,181,502,Analyzer (routing)
openai/gpt-5-nano,bj_no_judge,bj_no_judge,rouge_l,1356,0.9248315294048373,0.9117209418049051,0.013110587599932085,0.006390355501164271,0.019468448481307295,1.687798801487788e-08,wilcoxon,665,207,484,Analyzer (routing)
openai/gpt-5-nano,bj_no_plan,bj_no_plan,exact_match,1356,0.14233038348082597,0.12684365781710916,0.015486725663716814,-0.0025995575221238864,0.03136061946902653,0.09870072731432862,binomial_sign,84,1209,63,Planner+Reviewer
openai/gpt-5-nano,bj_no_plan,bj_no_plan,similarity,1356,0.8904612258918,0.8899957228515701,0.0004655030402299554,-0.007619464658364598,0.008230645765317663,0.004093068010763617,wilcoxon,486,294,576,Planner+Reviewer
