model_name,ablation,component,metric,n_pairs,mean_anchor,mean_ablation,mean_delta,ci_low,ci_high,p_value,test,wins,ties,losses,component_label
openai/gpt-5-nano,bj_no_plan,bj_no_plan,bleu3,1356,0.9051406240159591,0.902971470303088,0.002169153712871119,-0.006542009432930298,0.011006531142984647,0.08035114215374198,wilcoxon,471,360,525,Planner+Reviewer
openai/gpt-5-nano,bj_no_plan,bj_no_plan,rouge_l,1356,0.9248315294048373,0.9244936371787459,0.00033789222609140163,-0.0058963581256599885,0.006094820060954199,0.0008774501929918868,wilcoxon,435,371,550,Planner+Reviewer
openai/gpt-5-nano,bj_no_review,bj_no_review,exact_match,1356,0.14233038348082597,0.13938053097345132,0.0029498525073746312,-0.015486725663716814,0.02177359882005898,0.8102758772916921,binomial_sign,80,1200,76,Reviewer
openai/gpt-5-nano,bj_no_review,bj_no_review,similarity,1356,0.8904612258918,0.8952898038005548,-0.0048285779087549755,-0.01296242659244072,0.003024945891183026,0.0005585468869739979,wilcoxon,481,274,601,Reviewer
openai/gpt-5-nano,bj_no_review,bj_no_review,bleu3,1356,0.9051406240159591,0.9092177219047995,-0.004077097888840367,-0.013503423587712239,0.004847481792109277,0.0010413286991683617,wilcoxon,460,329,567,Reviewer
openai/gpt-5-nano,bj_no_review,bj_no_review,rouge_l,1356,0.9248315294048373,0.9284748484880192,-0.003643319083181928,-0.009971963404197816,0.0025487042232561078,0.004209397678748385,wilcoxon,465,339,552,Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_summary,bj_no_summary,exact_match,2501,0.17073170731707318,0.15793682526989206,0.012794882047181128,0.002568972411035598,0.023590563774490203,0.02059704542276809,binomial_sign,106,2321,74,Summarizer
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_summary,bj_no_summary,similarity,2501,0.9050121227181619,0.8983937858227834,0.006618336895378546,0.0010135574562713206,0.012695595653861429,1.805629846184162e-05,wilcoxon,535,1562,404,Summarizer
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_summary,bj_no_summary,bleu3,2501,0.9112160026453304,0.9081781386154636,0.003037864029866702,-0.002705606487617819,0.009626233893288202,0.004686417934453602,wilcoxon,509,1573,419,Summarizer
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_summary,bj_no_summary,rouge_l,2501,0.9331292663525678,0.9279003139571871,0.005228952395380698,0.00010198899752245801,0.01050311506944186,1.297016556492721e-05,wilcoxon,531,1574,396,Summarizer
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_judge,bj_no_judge,exact_match,2501,0.17073170731707318,0.020791683326669332,0.14994002399040385,0.13514594162335067,0.1657437025189924,3.876078452202342e-90,binomial_sign,397,2082,22,Analyzer (routing)
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_judge,bj_no_judge,similarity,2501,0.9050121227181619,0.8462700893906945,0.05874203332746731,0.05132093806211111,0.06614803173185872,1.5022354397638566e-115,wilcoxon,1644,329,528,Analyzer (routing)
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_judge,bj_no_judge,bleu3,2501,0.9112160026453304,0.8772300403604434,0.03398596228488681,0.026045362767685928,0.04173283407177183,1.3997991964293774e-41,wilcoxon,1414,377,710,Analyzer (routing)
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_judge,bj_no_judge,rouge_l,2501,0.9331292663525678,0.8958914873812646,0.03723777897130331,0.030749370754276025,0.04320381636971466,3.416627926984133e-101,wilcoxon,1582,379,540,Analyzer (routing)
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_plan,bj_no_plan,exact_match,2501,0.17073170731707318,0.16953218712514995,0.0011995201919232307,-0.004398240703718513,0.0059976009596161535,0.7492586247608418,binomial_sign,21,2462,18,Planner+Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_plan,bj_no_plan,similarity,2501,0.9050121227181619,0.906603677810557,-0.001591555092395025,-0.005152825036253205,0.0017891242176546027,0.28630508043584924,wilcoxon,137,2245,119,Planner+Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_plan,bj_no_plan,bleu3,2501,0.9112160026453304,0.913477484419692,-0.0022614817743617757,-0.00598153909834768,0.0012051644526189429,0.2559583563809099,wilcoxon,137,2247,117,Planner+Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_plan,bj_no_plan,rouge_l,2501,0.9331292663525678,0.9343128269858928,-0.0011835606333250022,-0.004189224843198878,0.001537114434215667,0.09533521466885413,wilcoxon,141,2247,113,Planner+Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_review,bj_no_review,exact_match,2501,0.17073170731707318,0.171531387445022,-0.0007996801279488205,-0.0059976009596161535,0.004798080767692923,0.887724827340783,binomial_sign,24,2451,26,Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_review,bj_no_review,similarity,2501,0.9050121227181619,0.9070135414023496,-0.0020014186841878596,-0.0056162214009002525,0.0012036823825625645,0.25281144863082505,wilcoxon,105,2274,122,Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_review,bj_no_review,bleu3,2501,0.9112160026453304,0.9121761436986259,-0.0009601410532957279,-0.004649193063822274,0.0023898662877473724,0.9057428232451574,wilcoxon,112,2279,110,Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,bj_no_review,bj_no_review,rouge_l,2501,0.9331292663525678,0.933972982515801,-0.0008437161632329983,-0.003673916080563672,0.001919179295286846,0.44883785619384653,wilcoxon,106,2278,117,Reviewer
