model_name,stratum,bucket,ablation,metric,n_pairs,mean_delta,ci_low,ci_high,p_value,wins,ties,losses,component_label
openai/gpt-5-nano,difficulty,easy,bj_no_summary,exact_match,874,0.008009153318077803,-0.014874141876430207,0.030892448512585814,0.5467134835988141,53,775,46,Summarizer
openai/gpt-5-nano,difficulty,easy,bj_no_judge,exact_match,874,0.07093821510297482,0.04805491990846682,0.09496567505720824,1.6467215702312508e-08,92,752,30,Analyzer (routing)
openai/gpt-5-nano,difficulty,easy,bj_no_plan,exact_match,874,0.019450800915331808,-0.002288329519450801,0.04233409610983982,0.09656519729770463,55,781,38,Planner+Reviewer
openai/gpt-5-nano,difficulty,easy,bj_no_review,exact_match,874,-0.0011441647597254005,-0.02288329519450801,0.02233981693363842,1.0,50,773,51,Reviewer
openai/gpt-5-nano,difficulty,hard,bj_no_summary,exact_match,482,-0.03319502074688797,-0.06016597510373444,-0.008298755186721992,0.013852965261321515,11,444,27,Summarizer
openai/gpt-5-nano,difficulty,hard,bj_no_judge,exact_match,482,0.07053941908713693,0.04247925311203322,0.0995850622406639,3.3856859533720747e-06,44,428,10,Analyzer (routing)
openai/gpt-5-nano,difficulty,hard,bj_no_plan,exact_match,482,0.008298755186721992,-0.022821576763485476,0.035269709543568464,0.6834892282353371,29,428,25,Planner+Reviewer
openai/gpt-5-nano,difficulty,hard,bj_no_review,exact_match,482,0.01037344398340249,-0.016597510373443983,0.03843360995850618,0.5900533317766354,30,427,25,Reviewer
openai/gpt-5-nano,project_size,huge,bj_no_summary,exact_match,62,-0.03225806451612903,-0.11290322580645161,0.03225806451612903,0.6875,2,56,4,Summarizer
openai/gpt-5-nano,project_size,huge,bj_no_judge,exact_match,62,0.08064516129032258,-0.016129032258064516,0.1774193548387097,0.1796875,7,53,2,Analyzer (routing)
openai/gpt-5-nano,project_size,huge,bj_no_plan,exact_match,62,0.0,-0.08064516129032258,0.08064516129032258,1.0,3,56,3,Planner+Reviewer
openai/gpt-5-nano,project_size,huge,bj_no_review,exact_match,62,0.016129032258064516,-0.07298387096774177,0.0967741935483871,1.0,5,53,4,Reviewer
openai/gpt-5-nano,project_size,large,bj_no_summary,exact_match,606,0.0049504950495049506,-0.018151815181518153,0.0297029702970297,0.7838463022094988,28,553,25,Summarizer
openai/gpt-5-nano,project_size,large,bj_no_judge,exact_match,606,0.06930693069306931,0.0429042904290429,0.09492574257425739,4.3028401315359276e-07,56,536,14,Analyzer (routing)
openai/gpt-5-nano,project_size,large,bj_no_plan,exact_match,606,0.0297029702970297,0.0,0.05532178217821778,0.030015864349067285,40,544,22,Planner+Reviewer
openai/gpt-5-nano,project_size,large,bj_no_review,exact_match,606,0.019801980198019802,-0.00825082508250825,0.0462046204620462,0.18821620302302766,41,536,29,Reviewer
openai/gpt-5-nano,project_size,medium,bj_no_summary,exact_match,636,-0.0110062893081761,-0.03459119496855346,0.012578616352201259,0.47036853185814453,31,567,38,Summarizer
openai/gpt-5-nano,project_size,medium,bj_no_judge,exact_match,636,0.07232704402515723,0.04559748427672956,0.09830974842767293,3.3155201688475004e-07,64,554,18,Analyzer (routing)
openai/gpt-5-nano,project_size,medium,bj_no_plan,exact_match,636,0.009433962264150943,-0.015723270440251572,0.03227201257861632,0.5323087760278422,35,572,29,Planner+Reviewer
openai/gpt-5-nano,project_size,medium,bj_no_review,exact_match,636,-0.014150943396226415,-0.040880503144654086,0.011831761006289273,0.3355576182340152,30,567,39,Reviewer
openai/gpt-5-nano,project_size,small,bj_no_summary,exact_match,52,-0.057692307692307696,-0.18317307692307672,0.057692307692307696,0.5078125,3,43,6,Summarizer
openai/gpt-5-nano,project_size,small,bj_no_judge,exact_match,52,0.057692307692307696,-0.09615384615384616,0.2024038461538457,0.6072387695312499,9,37,6,Analyzer (routing)
openai/gpt-5-nano,project_size,small,bj_no_plan,exact_match,52,-0.057692307692307696,-0.21153846153846154,0.09615384615384616,0.6072387695312499,6,37,9,Planner+Reviewer
openai/gpt-5-nano,project_size,small,bj_no_review,exact_match,52,0.0,-0.11538461538461539,0.11538461538461539,1.0,4,44,4,Reviewer
openai/gpt-5-nano,conflict_size,1-50,bj_no_summary,exact_match,715,-0.05034965034965035,-0.07412587412587412,-0.027972027972027972,8.715478657320524e-05,23,633,59,Summarizer
openai/gpt-5-nano,conflict_size,1-50,bj_no_judge,exact_match,715,0.0951048951048951,0.06713286713286713,0.12167832167832168,3.7651773363237467e-11,89,605,21,Analyzer (routing)
openai/gpt-5-nano,conflict_size,1-50,bj_no_plan,exact_match,715,0.025174825174825177,0.0013986013986013986,0.04828671328671325,0.059808338334316175,50,633,32,Planner+Reviewer
openai/gpt-5-nano,conflict_size,1-50,bj_no_review,exact_match,715,0.009790209790209791,-0.014720279720279707,0.03569930069930067,0.5104099416812344,45,632,38,Reviewer
openai/gpt-5-nano,conflict_size,1000+,bj_no_summary,exact_match,1243,-0.006436041834271922,-0.02333065164923572,0.010880933226065951,0.5194908187566277,55,1125,63,Summarizer
openai/gpt-5-nano,conflict_size,1000+,bj_no_judge,exact_match,1243,0.08527755430410297,0.06596942880128721,0.10458567980691874,4.3302283203284193e-19,129,1091,23,Analyzer (routing)
openai/gpt-5-nano,conflict_size,1000+,bj_no_plan,exact_match,1243,0.02172164119066774,0.0003821399839099037,0.040647626709573594,0.023801099334891,80,1110,53,Planner+Reviewer
openai/gpt-5-nano,conflict_size,1000+,bj_no_review,exact_match,1243,0.009654062751407884,-0.00766291230893,0.028962188254223652,0.3346877587369276,71,1113,59,Reviewer
openai/gpt-5-nano,conflict_size,201-500,bj_no_summary,exact_match,207,0.014492753623188406,-0.03635265700483087,0.07729468599033816,0.735878800856881,19,172,16,Summarizer
openai/gpt-5-nano,conflict_size,201-500,bj_no_judge,exact_match,207,0.033816425120772944,-0.028985507246376812,0.10144927536231885,0.3916029105474905,28,158,21,Analyzer (routing)
openai/gpt-5-nano,conflict_size,201-500,bj_no_plan,exact_match,207,0.00966183574879227,-0.043478260869565216,0.06763285024154589,0.8679394004284404,19,171,17,Planner+Reviewer
openai/gpt-5-nano,conflict_size,201-500,bj_no_review,exact_match,207,0.00966183574879227,-0.04830917874396135,0.06763285024154589,0.8829959121223965,24,161,22,Reviewer
openai/gpt-5-nano,conflict_size,501-1000,bj_no_summary,exact_match,392,0.03316326530612245,-0.006441326530612218,0.06887755102040816,0.12373144253809215,37,331,24,Summarizer
