code_metric,advantage_metric,n,spearman_r,spearman_p
gt_loc,delta_bleu3,872,0.8132953283581229,8.088616967477463e-207
gt_sloc,delta_bleu3,872,0.8094160809500004,2.4567791561907096e-203
gt_loc,delta_similarity,872,0.7997013320896538,5.901938233330715e-195
gt_sloc,delta_similarity,872,0.7965530342628293,2.4448501630640753e-192
gt_loc,delta_rouge_l,872,0.7834549309449662,6.313486398655567e-182
gt_sloc,delta_rouge_l,872,0.7802638469281648,1.6879385510526928e-179
gt_diff_hunks,delta_rouge_l,872,0.4770182104523561,9.469941905648593e-51
gt_diff_hunks,delta_similarity,872,0.47489369239117374,2.9663684690445006e-50
gt_diff_hunks,delta_bleu3,872,0.45905520049168597,1.1510060896595568e-46
gt_diff_lines_removed,delta_rouge_l,872,0.3384632094786404,8.195353452251177e-25
gt_diff_lines_removed,delta_similarity,872,0.32980605174749644,1.4286924437134567e-23
gt_diff_lines_removed,delta_bleu3,872,0.3073099845118593,1.5810394621897543e-20
gt_diff_total_change,delta_rouge_l,872,0.3018120822307859,8.01597984560123e-20
gt_diff_total_change,delta_similarity,872,0.29532823460599056,5.202374137861283e-19
gt_diff_total_change,delta_bleu3,872,0.27803326180457255,6.067646229911898e-17
gt_diff_hunks,delta_exact_match,872,-0.25825660077851315,9.402834350387262e-15
gt_diff_lines_added,delta_similarity,872,0.2493730227024788,7.917390661524687e-14
gt_diff_lines_added,delta_rouge_l,872,0.2461360336224507,1.6861436712191493e-13
gt_diff_lines_added,delta_bleu3,872,0.23817505002569206,1.0338046173814114e-12
gt_sloc,delta_exact_match,872,-0.19297766577643052,9.221071850657376e-09
gt_loc,delta_exact_match,872,-0.1906381180428548,1.398998643776889e-08
n_commits_total,delta_rouge_l,872,0.18186278445097592,6.380424613287362e-08
gt_diff_lines_added,delta_exact_match,872,-0.17535223958236304,1.8773505599463224e-07
n_commits_total,delta_exact_match,872,-0.1739581895419212,2.3533060421815558e-07
n_commits_b,delta_rouge_l,872,0.15948442351180983,2.211282080505691e-06
n_commits_total,delta_bleu3,872,0.1556804024350442,3.859998339171976e-06
n_commits_total,delta_similarity,872,0.15558538301161984,3.913431602307695e-06
gt_diff_total_change,delta_exact_match,872,-0.15360138931540485,5.204937806614719e-06
n_commits_b,delta_similarity,872,0.14784084322644445,1.1676890306137659e-05
n_commits_a,delta_exact_match,872,-0.13994539698510372,3.3681007189609996e-05
n_commits_b,delta_exact_match,872,-0.13954113096684717,3.550542813006152e-05
n_commits_b,delta_bleu3,872,0.1361721935674869,5.47994132007936e-05
gt_diff_lines_removed,delta_exact_match,872,-0.13614542368884774,5.4986516451052346e-05
n_commits_a,delta_rouge_l,872,0.11118026626313926,0.0010068521034174761
n_commits_a,delta_bleu3,872,0.09240447425779989,0.00632188930155099
n_commits_a,delta_similarity,872,0.08890875997547953,0.008617122633432794
