label,display_name,n_bypass_wins,n_agent_wins,n_ties,count_in_bypass_wins,count_in_agent_wins,count_in_ties,pct_in_bypass_wins,pct_in_agent_wins,pct_in_ties,pct_diff_vs_agent,pct_diff_vs_tie,odds_ratio_vs_agent,odds_ratio_vs_tie,chi2_pval_vs_agent,chi2_pval_vs_tie
favored simplicity,Favored Simplicity,147,0,39,54,0,23,36.734693877551024,0,58.97435897435898,36.734693877551024,-22.239665096807954,,0.40392706872370265,,0.020128866339310977
modification-bias,Modification Bias,147,0,39,39,0,19,26.53061224489796,0,48.717948717948715,26.53061224489796,-22.187336473050756,,0.38011695906432746,,0.013713613370226899
simple-commit-message,Simple Commit Message,147,0,39,29,0,13,19.727891156462583,0,33.33333333333333,19.727891156462583,-13.605442176870746,,0.4915254237288136,,0.1115715160823428
structural-change-bias,Structural Change Bias,147,0,39,57,0,20,38.775510204081634,0,51.28205128205128,38.775510204081634,-12.506541077969644,,0.6016666666666667,,0.21987896128035037
favored complexity,Favored Complexity,147,0,39,107,0,31,72.78911564625851,0,79.48717948717949,72.78911564625851,-6.69806384092098,,0.6903225806451613,,0.5195634517547543
refactor-oriented,Refactor-Oriented,147,0,39,1,0,2,0.6802721088435374,0,5.128205128205128,0.6802721088435374,-4.4479330193615905,,0.1267123287671233,,0.21300004906085335
feature-oriented,Feature-Oriented,147,0,39,6,0,0,4.081632653061225,0,0.0,4.081632653061225,4.081632653061225,,,,0.43963483117744573
fix-oriented,Fix-Oriented,147,0,39,13,0,5,8.843537414965986,0,12.82051282051282,8.843537414965986,-3.976975405546833,,0.6597014925373135,,0.6583521200434439
detailed-commit-message,Detailed Commit Message,147,0,39,51,0,15,34.69387755102041,0,38.46153846153847,34.69387755102041,-3.7676609105180603,,0.85,,0.8034012799842578
vague-commit-message,Vague Commit Message,147,0,39,26,0,8,17.687074829931973,0,20.51282051282051,17.687074829931973,-2.825745682888538,,0.8326446280991735,,0.8627430661351905
test-oriented,Test-Oriented,147,0,39,4,0,0,2.7210884353741496,0,0.0,2.7210884353741496,2.7210884353741496,,,,0.6740676396669851
unclear,Unclear,147,0,39,7,0,1,4.761904761904762,0,2.564102564102564,4.761904761904762,2.197802197802198,,1.9,,0.8748382643546686
lost information (compression),Lost Information,147,0,39,0,0,0,0.0,0,0.0,0.0,0.0,,,,
misprioritization,Misprioritization,147,0,39,0,0,0,0.0,0,0.0,0.0,0.0,,,,
accurate,Accurate,147,0,39,0,0,0,0.0,0,0.0,0.0,0.0,,,,
