,favored simplicity,favored complexity,lost information (compression),misprioritization,feature-oriented,fix-oriented,structural-change-bias,unclear,accurate,vague-commit-message,simple-commit-message,detailed-commit-message,refactor-oriented,modification-bias,test-oriented
favored simplicity,77.0,41.0,0.0,0.0,3.0,7.0,32.0,1.0,0.0,12.0,21.0,26.0,2.0,33.0,1.0
favored complexity,41.0,138.0,0.0,0.0,4.0,13.0,67.0,2.0,0.0,30.0,33.0,50.0,2.0,46.0,4.0
lost information (compression),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
misprioritization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feature-oriented,3.0,4.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
fix-oriented,7.0,13.0,0.0,0.0,0.0,18.0,8.0,0.0,0.0,0.0,3.0,12.0,0.0,5.0,0.0
structural-change-bias,32.0,67.0,0.0,0.0,1.0,8.0,77.0,2.0,0.0,15.0,17.0,26.0,2.0,24.0,2.0
unclear,1.0,2.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accurate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vague-commit-message,12.0,30.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,34.0,1.0,0.0,1.0,13.0,0.0
simple-commit-message,21.0,33.0,0.0,0.0,2.0,3.0,17.0,0.0,0.0,1.0,42.0,0.0,2.0,16.0,2.0
detailed-commit-message,26.0,50.0,0.0,0.0,3.0,12.0,26.0,0.0,0.0,0.0,0.0,66.0,0.0,20.0,1.0
refactor-oriented,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0
modification-bias,33.0,46.0,0.0,0.0,0.0,5.0,24.0,0.0,0.0,13.0,16.0,20.0,0.0,58.0,2.0
test-oriented,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,4.0
