stratify_by,stratum,label,display_name,n_samples,delta_exact_match,bypass_win_rate_exact_match,delta_similarity,bypass_win_rate_similarity,delta_bleu3,bypass_win_rate_bleu3,delta_rouge_l,bypass_win_rate_rouge_l
difficulty,easy,favored simplicity,Favored Simplicity,14,1.0,100.0,0.30614324693125106,100.0,0.33031103303929793,100.0,0.2571395347871605,100.0
difficulty,easy,favored complexity,Favored Complexity,43,1.0,100.0,0.3515944701645784,100.0,0.39877516187883527,100.0,0.2573717587915834,100.0
difficulty,easy,structural-change-bias,Structural Change Bias,21,1.0,100.0,0.2742689778118553,100.0,0.3321453967255801,100.0,0.20027739306034087,100.0
difficulty,easy,vague-commit-message,Vague Commit Message,14,1.0,100.0,0.278757644562071,100.0,0.3201310086455122,100.0,0.20626227005406572,100.0
difficulty,easy,simple-commit-message,Simple Commit Message,10,1.0,100.0,0.3147630657568456,100.0,0.36431914559333,100.0,0.22222263417126314,100.0
difficulty,easy,detailed-commit-message,Detailed Commit Message,24,1.0,100.0,0.3512456746323059,100.0,0.38676379601147254,100.0,0.26609383373253964,100.0
difficulty,easy,modification-bias,Modification Bias,12,1.0,100.0,0.28486081601692326,100.0,0.2824515648029326,100.0,0.21037646034991955,100.0
difficulty,hard,favored simplicity,Favored Simplicity,59,0.6101694915254238,61.016949152542374,0.28371898649498273,89.83050847457628,0.3268054689712549,88.13559322033899,0.21475115070244175,91.52542372881356
difficulty,hard,favored complexity,Favored Complexity,75,0.5866666666666667,58.666666666666664,0.33288589180045797,90.66666666666667,0.3846048176845993,90.66666666666667,0.25755815487464806,92.0
difficulty,hard,structural-change-bias,Structural Change Bias,48,0.5833333333333334,58.333333333333336,0.3232868901420516,93.75,0.36995800701784215,93.75,0.24973080152986124,95.83333333333333
difficulty,hard,vague-commit-message,Vague Commit Message,18,0.5555555555555556,55.55555555555556,0.451326339171234,94.44444444444444,0.5052948428255764,94.44444444444444,0.3736725676872765,94.44444444444444
difficulty,hard,simple-commit-message,Simple Commit Message,27,0.5185185185185185,51.851851851851855,0.21602099701304067,85.18518518518519,0.2541600297977657,85.18518518518519,0.15117100227487013,85.18518518518519
difficulty,hard,detailed-commit-message,Detailed Commit Message,34,0.5588235294117647,55.88235294117647,0.32183239435583333,97.05882352941177,0.3759428071742908,97.05882352941177,0.2374780864600206,97.05882352941177
difficulty,hard,modification-bias,Modification Bias,43,0.5581395348837209,55.81395348837209,0.35712012160942125,90.69767441860465,0.42465926937293813,90.69767441860465,0.27054163920042246,93.02325581395348
difficulty,medium,favored complexity,Favored Complexity,20,1.0,100.0,0.5163533103464324,100.0,0.5584398916266171,100.0,0.38926864662536004,100.0
