label,display_name,n_with_label,n_without_label,agent_exact_match_with,bypass_exact_match_with,delta_exact_match_with,delta_exact_match_ci_low,delta_exact_match_ci_high,bypass_win_rate_exact_match_with,delta_exact_match_without,bypass_win_rate_exact_match_without,agent_similarity_with,bypass_similarity_with,delta_similarity_with,delta_similarity_ci_low,delta_similarity_ci_high,bypass_win_rate_similarity_with,delta_similarity_without,bypass_win_rate_similarity_without,agent_bleu3_with,bypass_bleu3_with,delta_bleu3_with,delta_bleu3_ci_low,delta_bleu3_ci_high,bypass_win_rate_bleu3_with,delta_bleu3_without,bypass_win_rate_bleu3_without,agent_rouge_l_with,bypass_rouge_l_with,delta_rouge_l_with,delta_rouge_l_ci_low,delta_rouge_l_ci_high,bypass_win_rate_rouge_l_with,delta_rouge_l_without,bypass_win_rate_rouge_l_without
favored simplicity,Favored Simplicity,77,109,0.0,0.7012987012987013,0.7012987012987013,0.5974025974025974,0.7922077922077922,70.12987012987013,0.8532110091743119,85.3211009174312,0.6561568215308814,0.9509967541997324,0.29483993266885095,0.22272818157038513,0.36920656057528084,92.20779220779221,0.3665203478897163,98.1651376146789,0.6196177913744066,0.952253250840504,0.33263545946609757,0.25015301034497966,0.4178129505529472,90.9090909090909,0.4147384397038959,98.1651376146789,0.7356203510572398,0.9658306756156828,0.23021032455844304,0.16280997150906829,0.3001117361362631,93.50649350649351,0.2709312048857782,98.1651376146789
favored complexity,Favored Complexity,138,48,0.0,0.7753623188405797,0.7753623188405797,0.7028985507246377,0.8478260869565217,77.53623188405797,0.8333333333333334,83.33333333333333,0.6127819469465665,0.9780868042584496,0.36530485731188317,0.31733264325950106,0.4184112493717299,94.92753623188406,0.25502755055084836,97.91666666666667,0.5633458831466857,0.97755958691239,0.4142137037657043,0.35719870550926763,0.47730162024620537,94.92753623188406,0.28454019139472814,95.83333333333333,0.7079219752059325,0.9845105272069752,0.2765885520010427,0.23336846222864593,0.32457514455636965,95.65217391304348,0.18934325307095926,97.91666666666667
fix-oriented,Fix-Oriented,18,168,0.0,0.7222222222222222,0.7222222222222222,0.5,0.8888888888888888,72.22222222222223,0.7976190476190477,79.76190476190476,0.5675271409212852,0.970180986542855,0.4026538456215698,0.2637995812658766,0.5416982694737602,100.0,0.32979537806126386,95.23809523809524,0.5135885936743922,0.9794631576021623,0.4658745639277701,0.30082355513322107,0.6277755910372153,100.0,0.371629036642347,94.64285714285714,0.6772461284656813,0.9804686984626696,0.30322256999698816,0.1846288142779539,0.42258686005824986,100.0,0.24880767895002473,95.83333333333333
structural-change-bias,Structural Change Bias,77,109,0.0,0.7402597402597403,0.7402597402597403,0.6363636363636364,0.8311688311688312,74.02597402597402,0.8256880733944955,82.56880733944953,0.6373049991109542,0.978386581102974,0.3410815819920199,0.27328571150333714,0.40505118504482923,96.1038961038961,0.33385422864307396,95.41284403669725,0.5880308992050884,0.980139624636847,0.3921087254317589,0.3126762840669494,0.4656386097656274,96.1038961038961,0.3727252151226488,94.4954128440367,0.725790118358325,0.9874750724943495,0.26168495413602433,0.2042234773258692,0.31664689704068877,97.40259740259741,0.24869683353280791,95.41284403669725
vague-commit-message,Vague Commit Message,34,152,0.0,0.7647058823529411,0.7647058823529411,0.6176470588235294,0.9117647058823529,76.47058823529412,0.7960526315789473,79.60526315789474,0.5808698552334522,0.9653692240782216,0.3844993688447692,0.2855462938471559,0.48832326493393496,97.05882352941177,0.32618693549183186,95.39473684210526,0.5397583690904789,0.9657627151299308,0.42600434603945203,0.32061036825829725,0.5385093831497999,97.05882352941177,0.3706267930346894,94.73684210526316,0.664271051406435,0.9678645940752022,0.30359354266876715,0.2087584399751401,0.4118372152347965,97.05882352941177,0.24299681495270958,96.05263157894737
simple-commit-message,Simple Commit Message,42,144,0.0,0.6904761904761905,0.6904761904761905,0.5476190476190477,0.8333333333333334,69.04761904761905,0.8194444444444444,81.94444444444444,0.6712249079546785,0.9590674351380144,0.28784252718333586,0.1893926771882143,0.3835226274027102,90.47619047619048,0.3511389346790311,97.22222222222223,0.6359219689942565,0.9586039440383844,0.32268197504412804,0.2102009572863346,0.43320051374802343,90.47619047619048,0.3976859538525054,96.52777777777777,0.7600341593528585,0.9671508027493467,0.2071166433964881,0.11851689069683544,0.2933411376599933,90.47619047619048,0.26776942570067663,97.91666666666667
detailed-commit-message,Detailed Commit Message,66,120,0.0,0.7727272727272727,0.7727272727272727,0.6666666666666666,0.8636363636363636,77.27272727272727,0.8,80.0,0.6255696888230965,0.9777589208965286,0.3521892320734322,0.27957301089662584,0.42322754402341445,98.48484848484848,0.32840752848861726,94.16666666666667,0.575733295349714,0.9753052392527103,0.3995719439029962,0.3157198939337262,0.48287920473458307,98.48484848484848,0.37039726674180334,93.33333333333333,0.7222338563433535,0.9864262584331553,0.2641924020898018,0.20247821598755966,0.32640275133225716,98.48484848484848,0.2485083148801918,95.0
modification-bias,Modification Bias,58,128,0.0,0.6724137931034483,0.6724137931034483,0.5517241379310345,0.7931034482758621,67.24137931034483,0.84375,84.375,0.6271987947365975,0.9654809289741063,0.3382821342375089,0.2640708479801731,0.4156770094080471,93.10344827586206,0.33619553866957086,96.875,0.5802182848377014,0.967678807463817,0.3874605226261156,0.30283248713758776,0.4748824661864944,93.10344827586206,0.3777086718304645,96.09375,0.7233973537165697,0.9797653029840939,0.25636794926752404,0.19298508025027913,0.32120666231798584,94.82758620689656,0.25303402551588705,96.875
