method,count,min,q1,median,q3,max,mean
base_a,50,2.59,6.415,12.6895,35.1985,1309.16,49.036880000000004
base_b,50,2.402,3.4072500000000003,5.7555,13.7435,1316.991,38.576840000000004
prep,50,1.056,4.728,12.592500000000001,28.17025,75.26,18.57154
