,favored simplicity,favored complexity,lost information (compression),misprioritization,feature-oriented,fix-oriented,structural-change-bias,unclear,accurate,vague-commit-message,simple-commit-message,detailed-commit-message,refactor-oriented,modification-bias,test-oriented
favored simplicity,204.0,33.0,0.0,8.0,14.0,19.0,46.0,15.0,0.0,33.0,36.0,49.0,4.0,17.0,2.0
favored complexity,33.0,92.0,1.0,8.0,6.0,6.0,31.0,11.0,2.0,13.0,12.0,23.0,2.0,24.0,1.0
lost information (compression),0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
misprioritization,8.0,8.0,1.0,18.0,1.0,1.0,4.0,4.0,0.0,3.0,2.0,5.0,0.0,2.0,0.0
feature-oriented,14.0,6.0,0.0,1.0,23.0,0.0,6.0,2.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0
fix-oriented,19.0,6.0,0.0,1.0,0.0,26.0,5.0,2.0,0.0,0.0,5.0,5.0,1.0,3.0,0.0
structural-change-bias,46.0,31.0,0.0,4.0,6.0,5.0,70.0,7.0,0.0,8.0,9.0,15.0,2.0,8.0,0.0
unclear,15.0,11.0,0.0,4.0,2.0,2.0,7.0,44.0,0.0,9.0,6.0,9.0,0.0,7.0,1.0
accurate,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
vague-commit-message,33.0,13.0,0.0,3.0,0.0,0.0,8.0,9.0,0.0,49.0,8.0,0.0,0.0,6.0,0.0
simple-commit-message,36.0,12.0,0.0,2.0,2.0,5.0,9.0,6.0,0.0,8.0,51.0,0.0,3.0,6.0,0.0
detailed-commit-message,49.0,23.0,0.0,5.0,5.0,5.0,15.0,9.0,1.0,0.0,0.0,75.0,1.0,15.0,1.0
refactor-oriented,4.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,7.0,2.0,0.0
modification-bias,17.0,24.0,0.0,2.0,2.0,3.0,8.0,7.0,0.0,6.0,6.0,15.0,2.0,37.0,0.0
test-oriented,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
