label,display_name,n_bypass_wins,n_agent_wins,n_ties,count_in_bypass_wins,count_in_agent_wins,count_in_ties,pct_in_bypass_wins,pct_in_agent_wins,pct_in_ties,pct_diff_vs_agent,pct_diff_vs_tie,odds_ratio_vs_agent,odds_ratio_vs_tie,chi2_pval_vs_agent,chi2_pval_vs_tie
favored complexity,Favored Complexity,29,0,283,2,0,90,6.896551724137931,0,31.802120141342755,6.896551724137931,-24.905568417204826,,0.1588477366255144,,0.009667275859035327
vague-commit-message,Vague Commit Message,29,0,283,9,0,40,31.03448275862069,0,14.13427561837456,31.03448275862069,16.90020714024613,,2.73375,,0.03448939923397688
unclear,Unclear,29,0,283,7,0,37,24.137931034482758,0,13.074204946996467,24.137931034482758,11.063726087486291,,2.1154791154791153,,0.17694078982684996
structural-change-bias,Structural Change Bias,29,0,283,4,0,66,13.793103448275861,0,23.32155477031802,13.793103448275861,-9.528451322042159,,0.526060606060606,,0.3483555453590449
modification-bias,Modification Bias,29,0,283,1,0,36,3.4482758620689653,0,12.7208480565371,3.4482758620689653,-9.272572194468136,,0.24503968253968253,,0.24223149666334326
misprioritization,Misprioritization,29,0,283,4,0,14,13.793103448275861,0,4.946996466431095,13.793103448275861,8.846106981844766,,3.0742857142857143,,0.12657660777845903
simple-commit-message,Simple Commit Message,29,0,283,6,0,45,20.689655172413794,0,15.901060070671377,20.689655172413794,4.788595101742416,,1.3797101449275362,,0.688770922659667
detailed-commit-message,Detailed Commit Message,29,0,283,8,0,67,27.586206896551722,0,23.674911660777383,27.586206896551722,3.9112952357743396,,1.2281449893390193,,0.8093196406618794
feature-oriented,Feature-Oriented,29,0,283,3,0,20,10.344827586206897,0,7.06713780918728,10.344827586206897,3.277689777019617,,1.5173076923076922,,0.786975117856326
fix-oriented,Fix-Oriented,29,0,283,2,0,24,6.896551724137931,0,8.480565371024735,6.896551724137931,-1.5840136468868042,,0.7993827160493827,,1.0
test-oriented,Test-Oriented,29,0,283,0,0,4,0.0,0,1.4134275618374559,0.0,-1.4134275618374559,,0.0,,1.0
refactor-oriented,Refactor-Oriented,29,0,283,1,0,6,3.4482758620689653,0,2.1201413427561837,3.4482758620689653,1.3281345193127816,,1.6488095238095237,,1.0
accurate,Accurate,29,0,283,0,0,3,0.0,0,1.0600706713780919,0.0,-1.0600706713780919,,0.0,,1.0
lost information (compression),Lost Information,29,0,283,0,0,1,0.0,0,0.35335689045936397,0.0,-0.35335689045936397,,0.0,,1.0
favored simplicity,Favored Simplicity,29,0,283,19,0,185,65.51724137931035,0,65.37102473498233,65.51724137931035,0.14621664432802106,,1.0064864864864864,,1.0
