model_name,total,count_A,pct_A,count_B,pct_B,count_MIX,pct_MIX
groq:qwen/qwen3-32b,3316,3311,99.84921592279855,5,0.15078407720144751,0,0.0
local:meta-llama/Llama-3.1-8B-Instruct,3313,2177,65.7108361002113,1136,34.28916389978871,0,0.0
openai/gpt-5-nano,3487,1776,50.93203326641812,1702,48.8098652136507,9,0.2581015199311729
