model_name,metric,granularity,n_common_instances,mean_delta,mean_delta_ci_low,mean_delta_ci_high,p_value,test,wins,ties,losses,n_discordant
groq:qwen/qwen3-32b,exact_match,instance,1888,0.11334745762711865,0.09904661016949153,0.12764830508474576,7.596454196607839e-65,binomial_discordant,214,1674,0,214
groq:qwen/qwen3-32b,similarity,instance,1888,0.3189104921663928,0.30665845847189316,0.33157052243176416,2.210632672138318e-273,wilcoxon_signed_rank,1805,0,83,1888
groq:qwen/qwen3-32b,bleu3,instance,1888,0.2956680200628929,0.282997690256322,0.3092071860707863,3.1188390880489494e-260,wilcoxon_signed_rank,1765,0,123,1888
groq:qwen/qwen3-32b,rouge_l,instance,1888,0.2788463976059675,0.26698988648961175,0.29104368397340163,6.279907501526037e-271,wilcoxon_signed_rank,1812,0,76,1888
local:meta-llama/Llama-3.1-8B-Instruct,exact_match,instance,1888,0.11970338983050847,0.1048728813559322,0.13401747881355924,1.8546030753437107e-68,binomial_discordant,226,1662,0,226
local:meta-llama/Llama-3.1-8B-Instruct,similarity,instance,1888,0.386360050476125,0.37130553504558633,0.40185223731683817,2.857044567002708e-258,wilcoxon_signed_rank,1714,0,174,1888
local:meta-llama/Llama-3.1-8B-Instruct,bleu3,instance,1888,0.44785773939794477,0.4302952460912538,0.46659893640686956,1.0082273182259144e-249,wilcoxon_signed_rank,1673,0,215,1888
local:meta-llama/Llama-3.1-8B-Instruct,rouge_l,instance,1888,0.3157267599498969,0.3019767905564183,0.33001554641675507,1.448202806401516e-249,wilcoxon_signed_rank,1697,0,191,1888
openai/gpt-5-nano,exact_match,instance,1888,0.017478813559322032,0.003707627118644068,0.03125,0.015919925652419134,binomial_discordant,105,1711,72,177
openai/gpt-5-nano,similarity,instance,1888,-0.012906971850092486,-0.021789879194676627,-0.0038042582155707752,0.6590530159025829,wilcoxon_signed_rank,966,14,908,1874
openai/gpt-5-nano,bleu3,instance,1888,-0.028990395165318532,-0.038685631008916796,-0.019508100740449424,4.33061220780189e-13,wilcoxon_signed_rank,747,96,1045,1792
openai/gpt-5-nano,rouge_l,instance,1888,-0.014753662155722378,-0.022671045892985322,-0.006722166565014074,0.3491662053024073,wilcoxon_signed_rank,886,103,899,1785
