model_name,wins,ties,losses,total,win_pct,tie_pct,loss_pct,metric
groq:qwen/qwen3-32b,272,1627,0,1899,14.323328067403898,85.67667193259611,0.0,exact_match
local:meta-llama/Llama-3.1-8B-Instruct,287,1610,0,1897,15.129151291512915,84.87084870848709,0.0,exact_match
openai/gpt-5-nano,141,1662,93,1896,7.436708860759493,87.65822784810126,4.905063291139241,exact_match
groq:qwen/qwen3-32b,1807,0,92,1899,95.15534491837809,0.0,4.844655081621906,similarity
local:meta-llama/Llama-3.1-8B-Instruct,1679,0,218,1897,88.50817079599368,0.0,11.491829204006326,similarity
openai/gpt-5-nano,1002,18,876,1896,52.848101265822784,0.9493670886075949,46.20253164556962,similarity
groq:qwen/qwen3-32b,1768,0,131,1899,93.10163243812534,0.0,6.898367561874671,bleu3
local:meta-llama/Llama-3.1-8B-Instruct,1633,0,264,1897,86.08328940432261,0.0,13.916710595677385,bleu3
openai/gpt-5-nano,752,129,1015,1896,39.66244725738397,6.80379746835443,53.5337552742616,bleu3
groq:qwen/qwen3-32b,1817,0,82,1899,95.68193786203265,0.0,4.318062137967352,rouge_l
local:meta-llama/Llama-3.1-8B-Instruct,1674,0,223,1897,88.2445967316816,0.0,11.755403268318398,rouge_l
openai/gpt-5-nano,885,141,870,1896,46.677215189873415,7.436708860759493,45.88607594936709,rouge_l
